,revision_id,page_name,timestamp,size,comment,tags,unique_id,Year,Month,Day,Day of Week,Hour,is_reverted,diffPrev_size,diffNext_size
0,1210844005,List of WWE personnel,2024-02-28 16:28:26,149698,/* TKO Board of Directors */,['wikieditor'],0,2024,2,28,2,16,False,-55.0,
1,1210777383,List of WWE personnel,2024-02-28 08:16:22,149643,,"['mobile edit', 'mobile web edit']",1,2024,2,28,2,8,False,-1.0,55.0
2,1210756500,List of WWE personnel,2024-02-28 05:42:38,149642,,"['mobile edit', 'mobile web edit']",2,2024,2,28,2,5,False,-275.0,1.0
3,1210756401,List of WWE personnel,2024-02-28 05:41:51,149367,,"['mobile edit', 'mobile web edit']",3,2024,2,28,2,5,False,328.0,275.0
4,1210735710,List of WWE personnel,2024-02-28 03:01:49,149695,#article-section-source-editor,"['mobile edit', 'mobile app edit', 'ios app edit']",4,2024,2,28,2,3,False,0.0,-328.0
5,1210730606,List of WWE personnel,2024-02-28 02:24:06,149695,#article-section-source-editor,"['mobile edit', 'mobile app edit', 'ios app edit']",5,2024,2,28,2,2,False,-271.0,0.0
6,1210695752,List of WWE personnel,2024-02-27 22:39:22,149424,,['wikieditor'],6,2024,2,27,1,22,False,5.0,271.0
7,1210694630,List of WWE personnel,2024-02-27 22:34:00,149429,#article-section-source-editor,"['mobile edit', 'mobile app edit', 'ios app edit']",7,2024,2,27,1,22,False,121.0,-5.0
8,1210693458,List of WWE personnel,2024-02-27 22:28:20,149550,"Will add a reference as soon as one becomes available on Fightful, F4WOnline, or Pro Wrestling Insider",['wikieditor'],8,2024,2,27,1,22,False,-21.0,-121.0
9,1210685759,List of WWE personnel,2024-02-27 21:45:25,149529,Rm link to a draft article - we don't do that as per [[MOS:DRAFTNOLINK]],['wikieditor'],9,2024,2,27,1,21,False,20.0,21.0
10,1210668727,List of WWE personnel,2024-02-27 19:46:41,149549,I added a minor edit by putting a link to Brinley Reece’s draft page,"['mobile edit', 'mobile web edit', 'visualeditor', 'advanced mobile edit', 'draft-userpage-link']",10,2024,2,27,1,19,False,-2.0,-20.0
11,1210620660,List of WWE personnel,2024-02-27 14:20:36,149547,/* Creative team */,['wikieditor'],11,2024,2,27,1,14,False,-4.0,2.0
12,1210481049,List of WWE personnel,2024-02-26 20:54:54,149543,/* Creative team */,['wikieditor'],12,2024,2,26,0,20,False,-9.0,4.0
13,1210479751,List of WWE personnel,2024-02-26 20:46:36,149534,/* Creative team */,['wikieditor'],13,2024,2,26,0,20,False,-1.0,9.0
14,1210479450,List of WWE personnel,2024-02-26 20:44:16,149533,/* Creative team */,['wikieditor'],14,2024,2,26,0,20,False,-341.0,1.0
15,1210479254,List of WWE personnel,2024-02-26 20:42:54,149192,/* Creative team */,['wikieditor'],15,2024,2,26,0,20,False,0.0,341.0
16,1210479068,List of WWE personnel,2024-02-26 20:41:36,149192,/* Creative team */,['wikieditor'],16,2024,2,26,0,20,False,-24.0,0.0
17,1210420443,List of WWE personnel,2024-02-26 14:58:06,149168,"Thing is, all companies use the term producers these days...nobody calls them road agents any more.  So it's not a WWE thing, it's become an all of wrestling thing.",['wikieditor'],17,2024,2,26,0,14,False,14.0,24.0
18,1210386376,List of WWE personnel,2024-02-26 10:27:10,149182,/* Main roster */,['wikieditor'],18,2024,2,26,0,10,False,-284.0,-14.0
19,1210342736,List of WWE personnel,2024-02-26 04:33:21,148898,"Restored last stable version. It is the policy of WikiProject Professional wrestling to not use promotion-specific jargon like ""WWE Superstars"" or ""WWE Universe"", etc. ""Producer"" is an WWE-specific term, while road agent or simply agent is the traditional wrestling term. The traditional term should be listed.","['mw-manual-revert', 'wikieditor']",19,2024,2,26,0,4,False,-13.0,284.0
20,1210303234,List of WWE personnel,2024-02-25 23:59:37,148885,nobody calls them road agents any more,"['mw-reverted', 'wikieditor']",20,2024,2,25,6,23,False,14.0,13.0
